Symbol,Open,High,Low,Traded Value(crs),52 Week High,52 Week Low
NIFTY 50,15334.5,15382.5,15191.1,18531.61,18604.45,15183.4
HDFC,2063.45,2139.85,2062.1,1234.24,3021.1,2026.0
HINDUNILVR,2111.0,2202.9,2108.15,441.34,2859.3,1901.55
BRITANNIA,3300.0,3399.9,3270.95,122.67,4153.0,3050.0
WIPRO,409.0,417.9,404.15,425.16,739.85,402.05
ASIANPAINT,2600.0,2673.35,2588.35,419.95,3590.0,2560.0
APOLLOHOSP,3700.0,3825.0,3682.9,253.19,5935.4,3141.75
ULTRACEMCO,5179.0,5347.45,5161.8,266.93,8269.0,5157.05
HDFCBANK,1304.7,1325.0,1294.15,1046.39,1725.0,1271.6
TECHM,965.0,988.15,948.05,288.4,1838.0,943.7
INFY,1390.05,1422.35,1382.0,645.15,1953.9,1367.15
SHREECEM,17949.0,18503.5,17865.2,68.43,31469.95,17865.2
GRASIM,1290.1,1321.5,1285.0,87.0,1929.8,1276.6
NESTLEIND,16700.0,17022.95,16537.55,82.71,20609.15,16000.0
TITAN,1938.0,1973.45,1905.45,382.6,2768.0,1662.5
TCS,3094.0,3138.75,3069.0,467.04,4043.0,3023.85
DIVISLAB,3481.0,3539.95,3452.05,86.78,5425.1,3365.55
SUNPHARMA,801.0,813.5,794.5,220.29,967.05,652.7
CIPLA,914.75,928.15,902.0,86.34,1083.0,850.0
BAJFINANCE,5428.0,5510.0,5352.0,609.51,8050.0,5220.0
EICHERMOT,2600.0,2661.9,2599.95,189.22,2994.0,2159.55
TATACONSUM,718.45,722.75,705.0,73.53,889.0,650.2
HDFCLIFE,551.0,558.45,545.85,70.79,775.65,497.05
KOTAKBANK,1673.6,1689.85,1652.0,295.7,2253.0,1626.0
HCLTECH,965.0,966.0,952.1,125.23,1377.75,944.05
ITC,263.3,266.15,261.35,450.65,282.35,200.9
BAJAJ-AUTO,3620.25,3638.8,3574.8,96.83,4259.65,3027.05
DRREDDY,4146.7,4179.2,4107.1,115.02,5614.6,3654.0
BHARTIARTL,644.95,647.45,634.2,247.97,781.8,513.86
ICICIBANK,686.0,687.8,677.6,750.85,867.0,616.25
MARUTI,7699.8,7784.1,7626.0,803.68,9050.0,6536.55
BAJAJFINSV,11850.0,11850.0,11532.05,284.21,19325.0,11265.05
JSWSTEEL,550.6,554.6,536.1,305.5,790.0,520.05
HEROMOTOCO,2455.1,2501.45,2433.9,93.14,2995.0,2146.85
SBILIFE,1078.15,1092.8,1069.15,57.53,1293.25,956.75
ADANIPORTS,671.0,673.9,653.1,232.11,924.65,638.1
AXISBANK,635.25,637.15,622.2,334.4,866.9,622.2
TATAMOTORS,390.55,392.95,376.65,652.47,536.7,268.45
LT,1490.0,1497.85,1456.35,270.02,2078.55,1447.25
POWERGRID,209.1,210.9,206.35,115.7,248.35,167.15
M&M,1005.0,1008.0,979.1,368.0,1057.95,671.15
SBIN,441.5,443.45,430.7,540.31,549.0,400.5
NTPC,140.45,141.4,135.0,227.83,166.35,111.95
BPCL,304.0,304.5,294.0,111.21,503.0,294.0
RELIANCE,2605.0,2617.1,2521.1,1421.7,2856.15,2016.25
COALINDIA,181.9,181.9,174.75,414.08,209.0,132.75
INDUSINDBK,814.6,814.6,769.5,244.34,1242.0,769.5
HINDALCO,331.0,334.6,308.95,655.25,636.0,308.95
UPL,668.0,671.95,630.55,162.3,852.4,622.0
TATASTEEL,905.0,905.0,842.65,1204.9,1534.5,842.65
ONGC,138.6,138.9,130.0,383.02,194.95,108.5
